Number	Votes	Question
Q1	5	Terminology for relationships defined by interfaces
Q2	5	The Bluestacks Android emulator is built using .Net?
Q3	4	Retry Pattern Vs fall back pattern in rest client
Q4	4	How to avoid Duplicate objects in DB4o database
Q5	4	Are Java 8 Streams the same as .Net IEnumerable?
Q6	3	.NET WCF client and Java SOAP service error
Q7	3	Alternatives to static members
Q8	3	What is the equivalent of DateTime.FromOADate() in Java (double to Datetime in Java)
Q9	3	Sending Bytes over networkstream  values changing
Q10	3	What&#39;s the Java equivalent of .net&#39;s GC.KeepAlive?
