Number	Votes	Question
Q1	9	Request Dispatcher causing $.get of jQuery to alert the text of the page
Q2	7	auto populating struts2 checkboxes from database
Q3	6	refresh only this part of Data (Google Maps)
Q4	5	Best way to push data from http server side to browser client
Q5	4	404 not found error in jquery ajax call in spring controller
Q6	4	Validation on page refresh
Q7	4	Java ajax passing values from jsp to servlet
Q8	4	How to return a value in ajax from a Java Rest Web service?
Q9	3	Spring 3.1 Controller not accepting ajax post
Q10	3	403 Status (Forbidden) when PUT and DELETE using AJAX
