Number	Votes	Question
Q1	7	Activity has leaked window - Android
Q2	6	Android Empty activity and blank blank activity
Q3	5	Android SqLite error: table AppData has no column named _Player_8
Q4	5	How to enforce the custom permission on an Activity in Android?
Q5	4	Convert number into double
Q6	4	How do I save (make the spinner remember) the position of a selected item on the spinner drop down
Q7	4	Android - Dynamically set intent Extras
Q8	4	DeadObjectException on android app
Q9	3	Start new activity from a normal class method
Q10	3	Display logo in ActionBar
