Number	Votes	Question
Q1	7	CORS Filter not working as intended
Q2	4	angularjs with Java backend
Q3	4	Cross-domain $http request with AngularJS
Q4	3	Connecting and fetching data from mysql using angularjs
Q5	3	Web App (Spring  Angular  Grunt  Maven  Tomcat) running both grunt and tomcat servers
Q6	3	AngularJs end-to-end testing using existing Selenium tests written in Java
Q7	2	Adding Spring Security to Existing Spring AngularJS Application
Q8	2	Resteasy @FormParam null when passing params with AngularJS
Q9	2	AngularJS CORS with Authorization header
Q10	2	Iterating through an AngularJS resource with nested arrays
