Number	Votes	Question
Q1	14	Damaged file handling
Q2	12	How to create .docx files and .xlsx files on Android
Q3	9	org.apache.poi.POIXMLException: org.apache.poi.openxml4j.exceptions.InvalidFormatException:
Q4	7	How to remove warning in Excel using apache poi in JAVA?
Q5	7	Apache POI add a Series name into LineChart
Q6	6	How to make excel cells mandatory?
Q7	6	PPTX to PNG color rendering – Apache POI
Q8	5	How to read shapes group as an image from Word document(.doc or .docx) using apachePOI?
Q9	5	Creating a CellStyle library in Apache POI
Q10	5	Apache poi Style setting stops after a while
