Number	Votes	Question
Q1	6	Decision tree implementation issue in apache spark with java
Q2	5	how to fetch all of data from hbase table in spark
Q3	4	How can Kafka limitations be avoided?
Q4	4	Funnel analysis using MongoDB?
Q5	4	How to parse a huge file line by line  serialize &amp; deserialize a huge object efficiently?
Q6	3	How to process a range of hbase rows using spark?
Q7	3	Processing a large (GB) file  quickly and multiple times (Java)
Q8	3	Java load and process big data
Q9	2	Problems with the usage of new api&#39;s of the distribute cache
Q10	2	Passing Hadoop program commands through Java Program
