Number	Votes	Question
Q1	9	Algorithm- Sum of distances between every two nodes of a Binary Search Tree in O(n)?
Q2	4	Rebalance BST in O(n) instead of O(nlogn)
Q3	3	Storing a binary tree in an array
Q4	3	Binary Search Tree Confusion (best-case)
Q5	3	Red-Black Trees are arbitrarily defined to be left-leaning. How can I make it right-leaning?
Q6	2	get root of a binary search tree in java
Q7	2	Non recursive floor method for Binary search tree
Q8	2	How to convert a string to a generic type?
Q9	2	How to avoid NULLs in String representation of Binary Search Tree?
Q10	2	Binary Tree Search for values less than
