Number	Votes	Question
Q1	4	How to properly clear an entire binary tree in Java?
Q2	3	What is wrong with this algorithm execution in Java?
Q3	3	Find rightmost children in binary tree java
Q4	3	Ensuring that &quot;Object o&quot; parameter is of the same generic type when implementing java interfaces
Q5	3	comparable used as structure in a binary tree
Q6	3	order of a binary search tree that prints itself in preorder
Q7	3	Red-Black Trees are arbitrarily defined to be left-leaning. How can I make it right-leaning?
Q8	3	modification to LCA code for binary tree to check if node is present in Java
Q9	2	get root of a binary search tree in java
Q10	2	Binary Tree insert the values in nodes. Java
