Number	Votes	Question
Q1	122	Why does this random value have a 25/75 distribution instead of 50/50?
Q2	5	Is java bit shifting circular?
Q3	4	Which real use cases exist for arithmetic right bit shifting?
Q4	4	Bitwise right shift operator in Java
Q5	4	unexpected result in bit shifting operation
Q6	4	Change to HashMap hash function in Java 8
Q7	4	Catching the &quot;dropping&quot; bit value
Q8	4	Is bitwise operation faster than modulo/reminder operator in Java?
Q9	3	Bit manipulation modify bits to include number
Q10	3	Java XOR Operator questions
