Number	Votes	Question
Q1	12	Interesting behaviour return values of bitwise operators and bit shift in Java
Q2	4	Bitwise right shift operator in Java
Q3	3	Java - Casting Int to Byte - odd results
Q4	3	Converting a bitwise operation Java code to PHP
Q5	3	byte type behavior is not what expected
Q6	2	Java &quot;int i = byte1 | 0x0200&quot; vs &quot;int i = byte1&quot;?
Q7	2	Advantage of using bitwise shifting in constant 1 in java
Q8	2	A clarification in Bitwise operator
Q9	2	Reconstructing a string manipulated with bitwise operations
Q10	2	Java Operators with Numbers
