Number	Votes	Question
Q1	5	Why my custom border is applied for all components?
Q2	3	Emulate This SWT Shell in Swing
Q3	3	JScrollPane border overlaps on JTable border
Q4	3	Rounded corners for Swing JButton Swing without features of actual JButton
Q5	2	Java Graphics and Bordering Problems in JScrollPane
Q6	2	Remove border from JScrollPane
Q7	2	Remove Horizontal Border From Middle Cell With Java JTable
Q8	2	Removing the added border from JTextField and bringing it back to normal
Q9	2	JScrollPane adding one white pixel along bottom and right edges
Q10	2	Swing: create a CompoundBorder with 3 borders?
