Number	Votes	Question
Q1	14	Is this Monster Builder a good Builder / Factory pattern for abstracting long constructors mixed with setters?
Q2	4	AlertDialog with two Edits - when press Button ok --&gt; start new Alert
Q3	3	(Updated) How to use a Builder Pattern with Spring Injection?
Q4	3	Too much boilerplate  how can I reduce my POJO builders?
Q5	3	Java Builder pattern
Q6	3	Setters AND ( not OR or VS ) builder patterns
Q7	2	What is the difference  if any  between these builder patterns?
Q8	2	Using the builder pattern in a for loop
Q9	2	Java best way to implement builder pattern
Q10	2	Builder Pattern with Generics and a static inner Factory on the extended class
