Number	Votes	Question
Q1	5	BufferedInputStream to ByteArrayOutputStream very slow
Q2	4	Return byte array from C# to Java using UnmanagedExports and JNA
Q3	4	How to save image through capturing in android to php?
Q4	4	Convert from Byte Array to String and compare against another String (java)
Q5	4	Is it possible to find an image file extension from its byte array contents?
Q6	3	Efficiently read file from URL into byte[] in Java
Q7	3	Put/get byte array value using JSONObject
Q8	3	Java String to byteArray conversion issue
Q9	3	Java - Casting Int to Byte - odd results
Q10	3	Trimming byte array when converting byte array to string in Java/Scala
