Number	Votes	Question
Q1	20	Java Generics Interface casting
Q2	15	Java syntax - extra plus sign after cast is valid?
Q3	12	ClassCast error: Java 7 vs Java 8
Q4	11	java implict long cast behaviour
Q5	10	Why does casting based on Class.class work but not getClass?
Q6	8	Polymorphism  how to avoid type casting?
Q7	8	Java 8: multiple casting with &amp;
Q8	8	Different char casting behaviour for method passing and inside method
Q9	7	Casting int to byte gives different results in Netbeans and JCreator
Q10	7	Java: Unable to use EnumSet within an Enumeration : Initialization error : Tech Research Talent Tree example
