Number	Votes	Question
Q1	27	final characters in Java
Q2	17	How to check if a string at a certain position contains character a-h?
Q3	11	Char array compile time error upon assign a value from array
Q4	10	How to flip a letter upside down?
Q5	8	Different char casting behaviour for method passing and inside method
Q6	6	Do chars have intrinsic int values in Java?
Q7	6	Why is casting double to char allowed in Java?
Q8	5	char and byte with final access modifier - java
Q9	5	Character arithmetic in Java
Q10	5	How can I check if the char array has an empty cell so I can print 0 in it?
