Number	Votes	Question
Q1	10	How to flip a letter upside down?
Q2	9	What is the length of a string encoded in a ByteBuffer
Q3	9	how to insert the ? sign into a string
Q4	7	Incorrect String value without &quot;?characterEncoding=UTF-8&quot;
Q5	5	HttpClient ignoring encoding  on a single computer
Q6	4	Java Why is the length of the string twice 36 while it contains just 18 characters?
Q7	4	Ordering an array with special characters like accents
Q8	4	What to do with never happening  useless exceptions?
Q9	3	Character encoding JasperReports 5.6.0
Q10	3	XML encoding declaration and endianness
