Number	Votes	Question
Q1	8	IntelliJ can&#39;t find classpath test resource
Q2	8	What exactly is a class path in java?
Q3	5	windows classpath issue with ant and java
Q4	4	Java import external jar file
Q5	4	&quot;Could not find or load main class&quot; Error while running java program using cmd prompt
Q6	3	Jar dependency - Application server classpath vs adding it to the application war itself
Q7	3	IntelliJ 13 Tomcat Error configuring application listener of class org.springframework.web.util.Log4jConfigListener
Q8	3	How to share code between two projects?
Q9	3	openjdk-1.7.0_55 on ubuntu: Could not load the property file &#39;output_xml.properties&#39; for output method &#39;xml&#39;
Q10	3	Unable to get javac to automatically recompile a source file
