Number	Votes	Question
Q1	3	Negate comparison chain
Q2	3	Comparing Boolean Value
Q3	3	Java implementation of &quot;==&quot; for Integer objects with value from -128 to 127
Q4	3	Compare two documents where both parent elements and child elements are ordered diffently
Q5	2	Java: Generic class compare method
Q6	2	Determine if two files store the same content
Q7	2	Comparing 2 pairs of integers
Q8	2	How to create two instances of generic structure using different comparators?
Q9	2	Optimize two lists comparison
Q10	2	Difference between null!=variable and variable!=null
