Number	Votes	Question
Q1	15	When should you explicitly use a StringBuilder?
Q2	4	java: Collect and combine data in a list
Q3	3	Multidata Type Array In Java
Q4	3	How does Java concatenate 2 strings?
Q5	2	declaring  initializing  and concatenating arrays issue
Q6	2	Why am I getting different outputs with .concat() and += with Java Strings?
Q7	2	How to concat Java string with .class in Intent constructor?
Q8	2	Adding a prefix to the String in Java?
Q9	2	How to concat two string arrays in Java
Q10	2	How so I concatenate int values without adding them? (Java)
