Number	Votes	Question
Q1	6	Do {} while (   ) with comma operator  is that even possible?
Q2	4	Best way to check arguments before running method
Q3	4	Is there a more efficient way to compare 3+ items in an If statement?
Q4	4	Inserting extra code into Java for loops
Q5	3	Comparing Boolean Value
Q6	3	How to check both conditions met at the same time
Q7	2	Puzzle about two workers and a cart. Usage lock and conditions doesn&#39;t work
Q8	2	What is the condition for this &quot;for(;;)&quot; loop?
Q9	2	Java program that takes an input a color code in HSV and outputs the equivalent RGB code and Vice versa
Q10	2	Represent simple conditional statements in Java
