Number	Votes	Question
Q1	5	Open Source HTML to PDF in Java (2014)
Q2	4	log4j2 configuration will not load custom pattern converter
Q3	3	java - how to convert Gregorian date to jalali date and vice versa
Q4	3	Convert HTML to RTF in java?
Q5	3	JAVA : How to create .PNG image from a byte[]?
Q6	2	Converting chars into a string (without array)?
Q7	2	Why isn&#39;t my binary to English code working?
Q8	2	Clarifying this Java &quot;Activity&quot; from &quot;SamsTeachYourself Java&quot;
Q9	2	Convert date to other format in JodaTime
Q10	2	SelectItemsConverter Omnifaces preselected object value?
