Number	Votes	Question
Q1	4	Transaction Management in Hibernate with DAO Design Pattern
Q2	4	Java generic class of another generic class
Q3	3	Spring Autowire - Interface and Implementation DAO Class needed?
Q4	3	Mockito test DAO with mocked objects
Q5	2	DAO Hibernate Java Select All rows into a collection
Q6	2	what should be the correct format of using anotation @repository in DAO layer?
Q7	2	how to design a DAO update method
Q8	2	Generic DAO why us generic type Id
Q9	2	DAO Factory Pattern Example
Q10	2	Designing the data access layer for generic database-models
