Number	Votes	Question
Q1	24	Marker Interfaces in Java?
Q2	14	Is this Monster Builder a good Builder / Factory pattern for abstracting long constructors mixed with setters?
Q3	13	Java multi-type method parameter?
Q4	10	Comparing JAVA swing MVC with Android design pattern
Q5	7	Java Method Unbounded Type or Class Return
Q6	6	implement a &quot;task based&quot; program in Java without the use of a clock
Q7	6	Why do I need a FactorySupplier?
Q8	6	Is Object deserialization a proper way to implement Prototype pattern in Java?
Q9	6	Visitor pattern with Java 8 default methods
Q10	6	Which design pattern to use when multiple inheritance is needed in java
