Number	Votes	Question
Q1	65	Do &quot;nothing&quot; while &quot;condition&quot;
Q2	6	Do {} while (   ) with comma operator  is that even possible?
Q3	4	Java - using logical OR in do while
Q4	4	Looping do...while uncertainty
Q5	3	This do-while loop is not working  I can&#39;t understand why
Q6	3	Java: do-while loop with switch statement
Q7	3	Issue with do-while loop
Q8	3	How do I prevent program from terminating when user inputs a string when the program expects an integer?
Q9	2	Java do while loop increment
Q10	2	Java do while validation
