Number	Votes	Question
Q1	4	How do you get a line to shoot in random directions with drawLine()?
Q2	3	Rectangular Gradient
Q3	3	Draw lines  circles anything (Java)
Q4	3	Easy way of drawing a straight dotted line in libgdx?
Q5	2	Axis OX and OY title in java
Q6	2	How do I make a Java program that draws lines?
Q7	2	Drawing objects and erasing them
Q8	2	Why java swing drawLine doesn&#39;t correct width?
Q9	2	Displaying a JLabel text on top of a drawing
Q10	2	Class is not abstract and does not override abstract method
