Number	Votes	Question
Q1	7	JSP comparison operator behaviour
Q2	5	Spring MVC: how to display formatted date values in JSP EL
Q3	5	debugger cannot access the parent page variable in the included page
Q4	4	why SpEL not support unicode variable ? How to work around?
Q5	4	Why am I getting NullPointerExceptions in my JSPs when I upgrade from Glassfish 3 to 4?
Q6	3	Values not Displaying for Expression Language
Q7	3	Get name of annotation class in the jsp page
Q8	3	Resolving system environment variable using Spring Expression Language
Q9	3	Cant access some (Capitalized) fields in JSF controller?
Q10	2	Presentation/validation of negative zero in jsp?
