Number	Votes	Question
Q1	24	Should I return a Collection or a Stream?
Q2	7	Keep out of reach of Children: Removing protected fields from inheritance
Q3	5	deactivate a variable after use
Q4	5	Return &amp; print field value or just print value through class method?
Q5	3	Protect int  only visible to specified methods
Q6	3	Is it a good idea to use &#39;final&#39; modifier with getters and setters?
Q7	3	How encapsulation works in Linked List
Q8	2	Encapsulate objects in Java?
Q9	2	Calculating the distance between 2 points using getY() and getX()
Q10	2	Combining DDD  multiple implementations and REST
