Number	Votes	Question
Q1	4	How to emit and handle custom events?
Q2	4	How does the &#39;actionPerformed&#39; method get called without an explicit call to it?
Q3	4	Custom Key Events
Q4	2	Understanding Java Callbacks/Events in Matlab
Q5	2	JTextArea updated with DocumentListener
Q6	2	MIDI Java generates messed sound
Q7	2	Send native events
Q8	2	Android: Capture SearchView Text Clear by clicking x button
Q9	2	Is there a way to know if there are any observers for CDI events?
Q10	2	Java - keyboard state after leaving window
