Number	Votes	Question
Q1	6	How to build and use ffmpeg within android
Q2	5	How to take a screenshot of desktop fast with Java in Windows (ffmpeg  etc.)?
Q3	3	error: only position independent executables (PIE) are supported
Q4	3	Child Process will neither complete nor abort in Windows?
Q5	3	Java ProcessBuilder: space within quotation marks
Q6	3	OpenCV Java binds VideoCapture from file failing silently
Q7	2	How to convert 7sec Video to Gif Android
Q8	2	ffmpeg won&#39;t start until java exits
Q9	2	Jitsi and ffplay
Q10	2	HTTP live streaming from android device to amazon web server S3
