Number	Votes	Question
Q1	48	Why does Java read a big file faster than C++?
Q2	9	Get access to USB mass storage device in android
Q3	5	Reading a text file into a 3d array
Q4	5	Unix: “ls” command shows files with ? after the extension
Q5	5	Synchronizing on System.out
Q6	5	How to write encrypted data to a text file?
Q7	5	Jitsi - Playing a WAV file during call - If possible  mix with audio
Q8	5	Recursive stream
Q9	4	Open any file from within a java program
Q10	4	how to change the file path based on the OS
