Number	Votes	Question
Q1	5	Double value with two decimal using NumberFormat
Q2	4	Number format a decimal in Birt reports
Q3	3	JSpinner Arrows in odd positioning when used with JLabel
Q4	3	Java read text and manipulate text data as integer
Q5	2	Java How to get just HH:mm:ss from Date
Q6	2	How to make round up to count up the even decimal value (example.  if it is 2.25 it should round up to 2.3 not 2.2)
Q7	2	Printing formatted output in java with special characters
Q8	2	Converting seconds to human readable format MM:SS Java
Q9	2	Check if a string has a particular format?
Q10	2	Print writer format
