Number	Votes	Question
Q1	31	Why there is no BooleanConsumer in Java 8?
Q2	6	Library functions vs Java methods in Clojure
Q3	5	Turn a List of Lists into a List Using Lambdas
Q4	5	How to split the string before the 2nd occurrence of a character in Java
Q5	5	Scala lambdas implementation vs. Java 8
Q6	4	Java8 Optional to replace method that throws several exceptions
Q7	4	How to convert a double to its exact fractional equivalent in Java?
Q8	4	functional interface that takes nothing and returns nothing
Q9	3	Transform a Generic Array Efficiently Using Guava
Q10	3	Java how to return a split array in a function?
