Number	Votes	Question
Q1	5	Return &amp; print field value or just print value through class method?
Q2	5	Are there new arguments to use getters and setters since Java 8?
Q3	3	Java - custom array getter
Q4	2	Accessing variable of ArrayList inside class
Q5	2	Can IntelliJ generate getters without the &quot;get&quot; prefix?
Q6	2	Is it good practice to define a getter which does not return a specific field?
Q7	2	Using enums and switch statements to control method execution
Q8	2	Only one getter works on the page after uploading to the server
Q9	2	Accessing multiple variables from &#39;separated&#39; classes (no visibility)
Q10	2	Java: Getters  Setters  and Constructor
