Number	Votes	Question
Q1	6	Jar Dependencies in GitHub
Q2	4	Develop a project with two names?
Q3	3	jenkins hook not working - jenkins bitbucket
Q4	3	JGIT file diff against the last commit
Q5	3	Calling git from Java with command line
Q6	3	Deploy WAR file to Openshift without using GIT?
Q7	3	How to hide personal info from a publically shared GitHub?
Q8	2	Git won&#39;t stop tracking eclipse java .recommenders
Q9	2	EGit won&#39;t add lib folder to vcs
Q10	2	jgit - Delete .git directory (or get files without it)
