Number	Votes	Question
Q1	15	Spring Boot - Cannot determine embedded database driver class for database type NONE
Q2	9	How can I submit a text field in the POST request that uploads a blob to the Blobstore and retrieve it in the upload handler for the blob?
Q3	8	App Engine - Too many open instances
Q4	6	Deploying to Google App Engine
Q5	6	Google App Engine Cloud Endpoints userId is null
Q6	6	Appengine Search API vs Datastore
Q7	6	Is it possible to use a JPA connection pool with Google App Engine and Cloud SQL?
Q8	6	Java 6 applications are prevented from being deployed to Google App Engine from any version of the SDK
Q9	6	Cloud Endpoints custom domain workaround
Q10	5	Install maven plugin in eclipse juno
