Number	Votes	Question
Q1	15	java.lang.SecurityException: attempting to read gservices without permission
Q2	8	NoOptions cannot be resolved to a type
Q3	7	Google Play Services incompatibility
Q4	7	App not correctly configured to use google play game services
Q5	5	Android GPS does not work until restart on new phones
Q6	3	libGDX iOS game does not receive input
Q7	3	Google Play Game Services C++ SDK does not find NativeSdkEntryPoints java class
Q8	3	Google AdMob java.lang.NoClassDefFoundError: com.google.android.gms.ads.AdView
Q9	3	BaseGameUtils GoogleApiClient.ApiOptions cannot be resolved to a type
Q10	3	The meta-data tag in AndroidManifest.xml does not have the right value
