Number	Votes	Question
Q1	13	Draw with lines in Java
Q2	6	Polygon vertices as UV coordinates
Q3	5	Understanding how drawLine works
Q4	4	Why does painting with Swing behave differently in Java 8 and Java 6?
Q5	4	Color.White is getting skipped when using drawString() java
Q6	4	Why isn&#39;t the ENTIRE JPanel repainting?
Q7	4	Is it better to use Android&#39;s built-in frame-by-frame animation methods or create your own?
Q8	4	Java Swing graphics glitch?
Q9	4	How to make gradient border of an image using java?
Q10	4	When Graphics2D.fill() can work 10 times slower in SWT?
