Number	Votes	Question
Q1	4	Ruby on rails with jRuby
Q2	4	Java Heroku application run locally with foreman
Q3	3	play 2.0 deployment on heroku - compile timeout
Q4	2	Play Framework 2.3.6 (Java) javascripts and stylesheets not found when deployed to Heroku
Q5	2	Running Spring app built with gradle on Heroku
Q6	2	How to set an infinite session time out with Spring Security
Q7	2	Maven: package does not exist
Q8	2	Running Dropwizard app on Heroku: R10 failed to bind to $PORT
Q9	2	Optimize writes to heroku Postgresql database
Q10	2	How to enable async servlet support on Heroku?
