Number	Votes	Question
Q1	5	Why do we sometimes use hexadecimal format over decimal?
Q2	5	What can I do with a hex String literal?
Q3	3	Getting numbers of hex number
Q4	3	Sending Bytes over networkstream  values changing
Q5	3	What&#39;s the Color code for Android Hint?
Q6	2	Why would the method not allow inputs from 11-15?
Q7	2	Converting integer list containing binary to hex
Q8	2	Implement custom Arithmetic System
Q9	2	Converting file into hex dump
Q10	2	What is the purpose to add padding to hex?
