Number	Votes	Question
Q1	7	Executing Webdriver script from HTML
Q2	6	How should HTML for Java components reference resources?
Q3	6	Jsoup - Keep only the tags and remove all the text
Q4	6	Changes in HTML not reflected as long as I am using proxy
Q5	5	How to capture fingerprint using HTML and VeriFinger?
Q6	5	Android: retrieve html of website certain time after request
Q7	5	Java unsupported major minor version 52.0
Q8	5	Open Source HTML to PDF in Java (2014)
Q9	4	Is the Google Drive web host link feature in danger of being phased out?
Q10	4	How stop affecting the CSS of other content to our site?
