Number	Votes	Question
Q1	9	Convert TIF to JPG without increasing Bit Depth
Q2	5	Getting around the 4GB JAR limit
Q3	5	How to read an image from stream?
Q4	5	Java - resize image without losing quality
Q5	5	javafx NullPointerException when rendering big image
Q6	4	Is it possible to find an image file extension from its byte array contents?
Q7	4	How to Determine and Auto-Rotate Images?
Q8	4	How to read date and time from an image file
Q9	3	Is it safe to leak this ImageObserver in constructor?
Q10	3	How to create BufferedImage for 32 bits per sample  3 samples image data
