Number	Votes	Question
Q1	11	How can I prevent Eclipse from supplying deprecated classes when importing?
Q2	7	Handling login session of facebook sdk in android
Q3	5	How to keep a jar file external but still use its classes in my Android project?
Q4	4	Java import external jar file
Q5	4	Order of automatically imported packages and ambiguity
Q6	3	Can import cause crash/error after compilation?
Q7	3	How do you prompt a user for an input in java
Q8	3	How to import a custom java.awt.Font from a Font family with multiple TTF files? (An example is included)
Q9	3	How does a java compiler resolve a non-imported name
Q10	3	How do you use java files in Coldfusion
