Number	Votes	Question
Q1	6	Having pairs of static and instanced methods that perform the same tasks?
Q2	5	Is there any way to access this.toString()&#39;s value when calling another constructor?
Q3	4	how to write a java method with generic class type?
Q4	4	Create new instances of a class from an array of classes with Java
Q5	4	Strange runtime error declaring instance of class Java
Q6	3	Compile error in Java object conversion
Q7	3	How can a static variable (global variable) be an object in Java?
Q8	2	Can you override THIS keyword in JAVA
Q9	2	Swapping variables in Java using a method
Q10	2	I need some help understanding instances/references
