Number	Votes	Question
Q1	4	nested wild cards and subtyping. How to understand when types are compatible?
Q2	3	Instantiate Java Scanner in class or method
Q3	3	Navigation Drawer - Drawer Layout cannot be instantiated
Q4	3	How to properly assign values to objects  where their assignment throws an exception
Q5	2	Is there a Java equivalent to PHP&#39;s get_declared_classes()?
Q6	2	Java multidimensional array - Why is only defining the first size enough?
Q7	2	Instantiating JAVA Array of Generic Class
Q8	2	Instantiate an abstract class using another object&#39;s method?
Q9	2	Is the type parameter useful in the constructor of generic object instantiation?
Q10	2	no enclosing instance of type... in scope
