Number	Votes	Question
Q1	17	Why is writing data to disk as fast as keeping it in-memory?
Q2	6	Reading a file larger than 2GB into memory in Java
Q3	6	Why is it necessary to flush the output buffer when it was just created?
Q4	5	Reading Really big Files With Java
Q5	4	How to compress alphanumeric strings?
Q6	4	Java 8 FilterOutputStream exception
Q7	4	Encountered an IOException reading from InputStream in Java
Q8	3	Is there a way to run a java program from within another java program?
Q9	3	How do I catch errors when piping to/from javas stdin/stdout
Q10	3	How can I use Java 8 Streams with an InputStream?
