Number	Votes	Question
Q1	7	Frosted Glass Effect in JavaFX?
Q2	5	Updating UI from different threads in JavaFX
Q3	5	Is JavaFX 8 going to implement text field validation support?
Q4	4	JavaFX Pagination  leaking on setPageFactory?
Q5	4	Copy ObservableList java
Q6	4	JavaFX changing header of titled pane icon
Q7	4	javafx 8 compatibility issues - FXML static fields
Q8	4	How to get narrow progres bar in JavaFX?
Q9	3	Why is JavaFX Documentation seperate from Java 8 Documentation?
Q10	3	Is there a way to take away focus in javafx?
