Number	Votes	Question
Q1	6	JComboBox on Windows 7 has rendering artifacts
Q2	5	Screenshot of a panel with opened comboboxes
Q3	4	JComboBox: Not editable but typeable
Q4	3	Using Multiple JComboBoxes with a Common Data Source
Q5	2	Java Refresh JCombobox
Q6	2	How to add a table  with one row made of JComboboxes  on top an existing JTable
Q7	2	Adding JTable into JComboBox
Q8	2	Editable JComboBox in Java 8 does not forward Enter key to default button
Q9	2	How to prevent multiple clicks on JComboBox
Q10	2	load jcombo box item from data base when table name selected by another jcombo
