Number	Votes	Question
Q1	9	JAX-RS HATEOAS Using Jersey  Unwanted Link properties in JSON
Q2	7	Ignoring web.xml error-page with Jersey&#39;s ExceptionMapper
Q3	7	org.glassfish.jersey.servlet.ServletContainer ClassNotFoundException
Q4	6	Can&#39;t Deserialize JSON in Java Servlet
Q5	6	Atmosphere broadcasts don&#39;t reach client when running in Tomcat
Q6	5	Integration Testing DropWizard Apps
Q7	5	This dependency gives me two versions of one jar. How do I fix this?
Q8	5	How to shutdown WAR/EAR programmatically
Q9	5	Handling custom error response in JAX-RS 2.0 client library
Q10	4	Jersey RESTful Services: Resources &amp; Responses
