Number	Votes	Question
Q1	5	Why does a Latin-characters-only Java font claim to support Asian characters  even though it does not?
Q2	3	Java JFrame Window not appearing when run from Eclipse
Q3	3	JFreeChart : get ID of a bar on mouse click
Q4	3	How to add additional text in JFreechart?
Q5	2	Width of item in second series too wide
Q6	2	display second line graph over the first (jfreechart)
Q7	2	Java Swing - JFreeChart app works slowly
Q8	2	Variables as Parameter in Chart
Q9	2	Get rid of jfreechart chartpanel unnecessary space
Q10	2	how to set minimum date in jfree time-series chart
