Number	Votes	Question
Q1	13	Who sends a SIGKILL to my process mysteriously on ubuntu server
Q2	11	UnsatisfiedLinkError (Native method not found)
Q3	9	How to pass a JNI C# class into Java or handle this situation?
Q4	8	Cannot release Mat object in Java
Q5	5	Stanford CoreNLP python interface installation errors
Q6	5	Passing strings from java to c++ using JNI
Q7	5	How to take a screenshot of desktop fast with Java in Windows (ffmpeg  etc.)?
Q8	5	java code for reading image instead of getting frame
Q9	5	How Java int[ ] array is implemented inside JVM?
Q10	4	Linking static library with JNI
