Number	Votes	Question
Q1	6	Automate the webstart process
Q2	3	Why do I get: No valid JFX runtime
Q3	3	Figuring out where to store local files in Java
Q4	3	Installing JNLP on Ubuntu for Open JDK 7
Q5	3	WebStart Application is not working in Java 7 u45
Q6	2	Remote debugging java web start under JVM 1.8
Q7	2	Use old versions of JavaFX in Java 8
Q8	2	Application&#39;s associated file (JNLP) does not have a digital signature
Q9	2	Can not open JNLP file using Linux?
Q10	2	Unable to launch the applications
