Number	Votes	Question
Q1	5	How do I notify a user when social login is blocked by a proxy?
Q2	5	Java EE vs JSP vs JSF
Q3	5	JSF Code formatter or Eclipse XML Editor  each tag for new line?
Q4	4	Primefaces p:autcomplete issues with String field in POJO
Q5	4	Adding Primefaces references in Maven Project?
Q6	4	making jar the custom components in jsf with maven
Q7	4	Validation on page refresh
Q8	3	Spring Web-Flow Keeps Replacing Get Request Parameters With its Execution Parameter
Q9	3	How jsf or any framework creates beans using annotation?
Q10	3	JSF &quot;Error Mac did not verify!&quot;
