Number	Votes	Question
Q1	24	Which one is lighter  JSON or BSON?
Q2	11	How to configure MappingJackson2HttpMessageConverter registered by spring-hateoas
Q3	10	Deserializing fails for a class implementing Collection with Jackson
Q4	9	JSONArray duplicate same result
Q5	9	Get nested JSON object with GSON using retrofit
Q6	8	JSONObject to Map
Q7	8	Custom deserialization on top of reflective deserialization with Jackson
Q8	7	@JsonView not filtering properties (Spring 4.1.0.RC2  Jackson 2.3.2)
Q9	7	Spring RedisTemplate : Serialise multiple Model classes into JSON.Need to use Multiple RedisTemplates?
Q10	6	Java- Getting Json by parts
