Number	Votes	Question
Q1	5	JTextPane Background Color
Q2	4	JTextPane + JScrollPane + word wrap?
Q3	3	JTextPane resizing in a JPanel
Q4	3	Issue with JTextPane and regex
Q5	3	Unexpected padding to the left of first letter/unexpected typographic behaviour in JTextPane
Q6	3	Detecting image on current mouse position only works on part of image
Q7	3	Resize dialog message (JOptionPane) for long sentence with fixed width
Q8	2	Two linked JTextPanes
Q9	2	Java JTextPane add emty space to JScrollPane
Q10	2	JTextPane AttributeSet
