Number	Votes	Question
Q1	5	Support for Windows-Left and Windows-Right in undecorated JFrames
Q2	5	How to detect a key press in Java
Q3	5	Problems detecting SHIFT keys in Java on Windows
Q4	4	Why is my KeyAdapter always one step behind?
Q5	4	How to use Key Bindings instead of Key Listeners
Q6	3	Moving a background image in Swing
Q7	3	Document Filter vs. KeyListener vs. MaskFormatter
Q8	2	KeyListener on jTextField is not working
Q9	2	Dynamic FlowLayout
Q10	2	Using KeyListener on a JFrame to move a component
