Number	Votes	Question
Q1	6	Is there a JavaFX equivalent of JGoodies FormLayout and DefaultFormBuilder?
Q2	5	GridBagLayout gridding not working
Q3	5	Calendar GridLayout
Q4	5	why adding &lt;merge&gt; changes the android layout?
Q5	4	Jtable with a custom layout is flickering when the user scrolls it
Q6	4	Layout And Views Visibility on app
Q7	3	Laying out a keyboard in Swing
Q8	3	Custom draggable layout manager
Q9	3	Best layout/nested layouts for this structure
Q10	3	Give a layout that suits the components
