Number	Votes	Question
Q1	4	SDK name of PluginsSDK not set?
Q2	3	how to set the environment variable ANT_OPTS in ubuntu?
Q3	3	parameter not getting set when sent from jsp to Java Portlet
Q4	2	Using Criterion &#39;OR&#39; to narrow resultset
Q5	2	Difference between specifying plid in opening tag and passing it as a param in Liferay
Q6	2	How to keep two maven settings profile for two different projects for different builds?
Q7	2	Liferay new portlet vs plugin project difference
Q8	2	Portlet in a modal dialog box
Q9	2	Mapping LDAP users to Liferay local groups
Q10	2	Liferay Authorization
