Number	Votes	Question
Q1	16	Which subset of Unicode symbols should I use to mark special substrings in text?
Q2	9	What is the correct alternative to Java&#39;s equalsIgnoreCase?
Q3	6	Converting Greek to Uppercase in Java
Q4	5	A good date converter for Jalali Calendar in Java?
Q5	5	Android change and set default locale within the app
Q6	4	Why doesn&#39;t Oracle&#39;s JDK (8  7 and lower?) take LC_* environment variables into account?
Q7	3	Changing logging levels localized name with jdk logging/slf4j
Q8	3	Android text entry validation with localization
Q9	3	Proper Russian month string translation Java
Q10	3	Time interval localization in Java
