Number	Votes	Question
Q1	10	Java 1.8 borders rendered incorrectly
Q2	9	Java: Look and Feel
Q3	8	Is there a java look and feel based on the flat design concept?
Q4	3	Is there a way to get a look and feel of windows 8 metro on java desktop application?
Q5	3	How to query current anti-aliasing settings in Swing L&amp;F?
Q6	3	Wrong colors in JList when using Nimbus and Java 8U20
Q7	3	GtkLookAndFeel fatal crash on Oracle Jre
Q8	3	Look &amp; Feel troubles on Ubuntu
Q9	3	Seaglass Look and Feel for Java Swing
Q10	2	How to create a Look&amp;Feel aware TableCellRenderer?
