Number	Votes	Question
Q1	16	Error on running multiple Worlflow in OOZIE-4.1.0
Q2	6	Running Hadoop MR jobs without Admin privilege on Windows
Q3	6	what difference between execute a map-reduce job using hadoop and java command
Q4	6	Yarn MapReduce Job Issue - AM Container launch error in Hadoop 2.3.0
Q5	5	How do I get last modified date from a Hadoop Sequence File?
Q6	5	how to fetch all of data from hbase table in spark
Q7	5	Java 8/JDK8 Stream&#39;s functions Map/Reduce To group List&lt;String&gt; into Map&lt;String  List&lt;String&gt;&gt;
Q8	4	Java 8 grouping by from one-to-many
Q9	4	Funnel analysis using MongoDB?
Q10	4	Error while trying to run HBase map reduce
