Number	Votes	Question
Q1	19	How does memory allocation of an ArrayList work?
Q2	13	Java process memory check test
Q3	11	OutOfMemoryException in the Emulator
Q4	9	Memory usage of byte array in Java
Q5	9	Problems with Java garbage collector and memory
Q6	7	Android graphics huge heap memory consumption? - LibGDX
Q7	7	Memory leak in Scala and processes
Q8	6	Why doesn&#39;t Stack Overflow always occur?
Q9	6	Actual size in bytes occupied by an array of x datatype in java?
Q10	5	Memory consumed by a thread
