Number	Votes	Question
Q1	3	Modify message for a single player
Q2	2	How to make Bukkit not save chunks automatically at any time
Q3	2	Why doesn&#39;t Location.add(0  1  0) set a new location one block above?
Q4	2	Minecraft Launcher re-compile
Q5	2	Send &quot;MOTD&quot; to Minecraft client from custom Netty server
Q6	2	Wrap java program&#39;s stdin/stdout
Q7	2	Data Structure and Algorithm for a 3D Volume?
Q8	2	Bukkit Right Click on Block
Q9	2	Setting Block Data from Schematic in Bukkit?
Q10	2	Java - File deletion
