Number	Votes	Question
Q1	4	How to allow MouseEvents to be dispatched to disabled Nodes?
Q2	3	JavaFx Transparent window - yes please. Mouse transparent - no thanks
Q3	3	How to track mouse EXIT/ENTER/HOVER over composite?
Q4	3	Mouse events on vertex of JUNG graph
Q5	2	About the MousewheelListener forNode
Q6	2	Disappearing Problems Using a Released MouseEvent In Java
Q7	2	How do I return a swing event if it not used?
Q8	2	Java - Mouse event does not work in JTable
Q9	2	Detecting mouse movement on screen
Q10	2	Processing: How to stop mouse event being captured by all the listeners
