Number	Votes	Question
Q1	9	How to slide the ActionBar along with the NavigationDrawer
Q2	5	Navigation drawer not displaying but still opening
Q3	4	Navigation Drawer for Multiple Activity
Q4	4	How to use material design action bar navigation drawer toggle animation?
Q5	4	DrawerLayout on top of Actionbar
Q6	3	Navigation Drawer - Drawer Layout cannot be instantiated
Q7	3	Android: Navigation Drawer vertical shadow
Q8	2	Android changing the width of the navigation drawer panel programmatically
Q9	2	NavigationDrawer with Activities
Q10	2	How to properly apply and customize a global navigation drawer with Activities
